short_description,close_notes,etiqueta
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): Procesos sin documentación completa,"Buen día Patricia

Ya finalizamos la revisión del 5 caso que estaba pendiente, e este se identifica que una vinculación de cuatro compradores uno de ellos no recibió los documentos para su firma (1017179562 DANIELA SIERRA ) realizamos la búsqueda respectiva y identificamos que la causa fue que el lugar de expedición en su información básica no se almacenó generando la falla en la generación de los pdf, se realizó la generación del NIC para ese cliente y la única novedad al respecto es que todos los involucrados tienen que volver a firmar el encargo fiduciario.

En base a esto realizamos una búsqueda para validar si habían más vinculaciones con esta casuística encontrando que solo la vinculación asociada a este caso lo presentó, desde el código de la app se dejó el control que por ningún motivo este lugar de expedición no se vaya en blanco.",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) :Se generan 6 procesos con 6 asesores diferentes de los cuales al proceso de cc 10283750 se le presenta error,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"Buen día

Revisando logs, base de datos y firebase que son los lugares donde almacena toda la información del usuario evidenciamos que la información y el consumo del servicio smtp se realizo de manera correcta. Por otro lado, evidenciamos que el usuario también hizo el restablecimiento de la contraseña, mensaje el cual también fue enviado sin problemas a su correo electrónico, adicional realizamos pruebas de envío de código para verificar si había una falla del mismo y sin problema.

Observamos que el cliente ingreso a la app y que el código se le envió correctamente. Se adjunta evidencia.

¿Se sigue presentando el problema?

Quedo atento",1
12/12/2022 Error en validación de identidad (Registraduria),"
Después de realizada la revisión se evidencia en los logs que el proveedor nos retorno un error 502 lo cual significa Servidor no disponible lo cual estaba generando que mencionará servicio de registraduría no disponible, esto fue en un periodo de tiempo corto momento en el cual se vió afectada la validación de identidad del usuario en mención, después de ello se realiza prueba de validación nuevamente y este se ejecuta sin problema.

Este porcentaje de falla esta contemplado en la disponibilidad de la aplicación. Por otro lado, vamos a crear una alerta adicional con ese error retornado en especial que si llegase a suceder de nuevo se lo informaríamos.

Se realizó la creación de la alerta el día de ayer por si el inconveniente se vuelve a presentar teniendo en cuenta el porcentaje de fallo que en alguna consulta nos pueda retornar y actuar de forma proactiva.
",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) 15_12_2022 Proceso flatante en davibox,"Buen día.

Se revisó la vinculación la cual fue creada el 09/10/2022, se había firmado el NIC completamente y el encargo también. Sin embargo, teníamos un error de callback en la finalización de la firma del encargo fiduciario, esto se generó cuando teníamos inconvenientes con la plataforma los cuales en este momento ya fueron atacados, lo realizado fue ejecutar el callback nuevamente y la firma se encuentra en este momento firmado y el día de mañana ya podrían visualizar los archivos en Davibox.

Estos errores de callback no deben volver a presentarse por los ajustes realizados en varios de los servicios de la plataforma fidudavivienda.",0
16_12_2022 Error Visualización Proyectos Perfil Asesor,"Hola buen día.

Después de realizada la sesión se identifica que al usuario se le estaba asociando una constructora y a la vez se le asignaba proyectos de otra constructora la cual no tenía asignada generando que le apareciera la constructora pero no los proyectos, como consejo siempre se debe validar y verificar ellos a la hora de crear o asignar información a los usuarios.",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) Error ingreso y creación usuario asesor,"Cerrado por sistema, sin respuesta",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) Atentamente me permito solicitar su colaboración derivado que constructora Ingeurbe Compensar reportan que de la inver,"Buen día 

Nosotros no podemos cerrar el caso pero procedemos a dejarlo en resuelto para que el sistema se encargue de cerrarlo.

Slds",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) Atentamente me permito solicitar su colaboración derivado que Constructora Capital reporta que la inversión 0602000139,"Buen día

Nosotros no podemos cerrar el caso pero procedemos a dejarlo en resuelto para que el sistema se encargue de cerrarlo.

Slds",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - No genera las pregunas de seguridad para el cliente de estados unidos,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"VINCULACION PREVENTAS FIDUCIARIA (ONE ID) vincular al cliente, pero no le llegan las preguntas de seguridad ","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) vincular al cliente relacionado anterioremnte con la cedula,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
 VINCULACION PREVENTAS FIDUCIARIA (ONE ID):no están llegando completos los documentos  PDF al davibox ,"Buen día Claudia

Se realizaron los cargues de todos los archivos faltantes por comprador puede verificar dicho cargue el día de mañana en el Davibox

Slds",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID)  NIC para firma ,No se evidencia anomalías en los datos consultados y los archivos de firma están completos por todas las partes,1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) Atentamente me permito solicitar su colaboracion dado que Constructora Capital informa que la inversion No 06020001399,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
17/01/2023 no llego el contrato de encargo fiduciario ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) No se recibio el contrato de encargo de los clientes ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) El contrato de encargo de los clientes en relacion no ha llegado,"Buen día Jenniffer 

Se evidencia que los contratos no habían cambiado de estado para poderse enviar como finalizados, en este momento los archivos se encuentran listos para enviarse a media noche y puedan disponer de ellos.

Slds",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"Buen día 

Se dejará en estado resuelto con el comentario brindado para que el sistema pueda cerrar el incidente.

Slds",2
"VINCULACION PREVENTAS FIDUCIARIA (ONE ID) Se hizo el proceso de vinculación de un comprador  les llegó el NIC pero no el encargo Fiduciario para firma,","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",1
"VINCULACION PREVENTAS FIDUCIARIA (ONE ID) Constructora Bolívar Cali, intentó realizar la vinculación de un comprador pero no le generó las preguntas retro ","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"VINCULACION PREVENTAS FIDUCIARIA (ONE ID): Intentan hacer proceso de vinculación y sale ""SERVICIO DE REGISTRADURIA NO RESPONDE"" ","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) (No le llegó el NIC a la cliente),"Buen día equipo

este incidente ya la información de la cliente esta completada y sus archivos cargados al equipo de vinculaciones

Slds",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):   desde el mes de octubre del 2022 remitieron la vinculación de la inversión 0602000139790952,"Buen dia estimados, informo que el cliente, constructora y fiduciaria ya firmaron los documentos, mil gracias se puede proceder con el cierre del caso.",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Los documentos PDF  de las vinculaciones no están llegando  completos AL DAVIBOX,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) la inversion 0602000139792164  no recibio el formulario NIC ,"Buen dia Estimados, en efecto la vinculacion ya fue legalizada el dia de hoy por nuestro equipo de vinculaciones, por favor dar cierre del incidente, gracias.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): Se firmaron documentos  pero no llegaron los PDF al davibox,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): No han se ha recibido copia del contrato,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):validar el encargo ,"Buen día Karen

procedemos a dejar el incidente en estado resuelto con la información suministrada, si ve necesario abrirlo nuevamente dejar comentarios y ponerlo en curso por favor.",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):error en cargo firmado,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):no llego la vinculacion ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID)  vinculación al interior de la Fiduciaria,Buen día se procede a dejar en estado resuelto según indicaciones,2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): NO permitió firmar en lo tiempos,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) no recibieron de la inversion 0602000140044258  el contrato de encargo fiduciario y formulario NIC ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"VINCULACION PREVENTAS FIDUCIARIA (ONE ID) , le llego 1 pero el otro aun no 0602000140045222","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) Error en la creación de Asesores,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
En días pasados coloqué un incidente del cliente Carlos Alberto Lagos Pineros CC. 1032470686 encargo 0602000139790952 porque  le había llegado el encargo pero n,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) no le aparece el proyecto,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
Buen día EstimadosReciban un cordial saludoAtentamente me permito solicitar su colaboracion derivado que constructora ingeurbe compensar nos informa que el ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID)  encuentra realizando la apertura ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): Error en la fecha de nacimiento,Caso resuelto según lo manifestado por el cliente,2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):no llega clave al correo ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):no llegan  correo  ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID)  No llega el encargo f,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"Bolivar cali intenta vincular un cliente cuyo segundo apellido es españa y no le permite continuar intentó 3 veces y le bloqueo por el dia de hoy, agradecemos v","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): Evento Riesgo Exposición ]Información No Autorizada,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"Buen dia Estimados,

A continuacion me permito adjuntar relacion de 17 encargos fiduciarios del Proyecto Los Pinos de Constructora Capital Bogota SAS los cuales","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"Buenas tardes:
El día de hoy se realizó un proceso por One ID en el cual no les llega el mensaje de texto al celular sino que direcciona de una vez a preguntas ","Buen dia.
Se valida con Experian y se detecta que el numero de celular del cliente al buscarlo en el repositorio de información de Experian y contrastarlo con el numero de celular ellos no lo encuentran a pesar de que el numero del cliente si pertenezca a el, eso se puede presentar con diferentes clientes los cuales Experian no los tiene registrados en su repositorio. Por esta razón se brinda la segunda opción de contestar preguntas reto teniendo en cuenta que no pueden encontrar el numero de celular, esto no afecta la vinculación debido a que se generan preguntas retro para validación de identidad.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):  el sistema cambia el valor de la cuota inicial aun si el asesor coloca un valor fijo ,"Buen dia.
El incidente ya fue ajustado, solicito validar si la falla sigue persistiendo.
Saludos.",0
"Buen dia Estimados

Atentamente me permito solicitar su colaboracion derivado que Ingeurbe Compensar me reportan que para el proyecto Terra se presento incosist","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"VINCULACION PREVENTAS FIDUCIARIA (ONE ID). La aplicación no permite signos y genera este error apellido tiene una comilla, D'ACHIARDI.","Buen dia.
Se estuvo validando y se determino que no es una falla de la plataforma, ya que desde las reglas solo se permite letras y espacios (No caracteres especiales).
Para que permita añadir comillas  se tendría que cambiar el diccionario y para esto se tendría que hacer una solicitud formal para realizar este cambio, pero esto no se abordaría como un tema de soporte.",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID),"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) servicio de registraduría no responde,"Buen dia.
Se obtiene respuesta por parte de el proveedor de validación de identidad:

Diagnóstico:

Se identifico que la identificación no existía en los archivos de validación de la base de datos, por lo cual fue actualizada de acuerdo con lo que se encuentra registrado y disponible en la base de datos de la fuente oficial.

Causa Raíz del Evento:

Actualización Información.

Resultado:

Se realiza el proceso de validación, actualización e inclusión en la base de datos según la información que fue entregada por la fuente oficial. Esta fue disponibilizada para todos los productos y servicios de Experian, por lo cual agradecemos realizar las validaciones y pruebas que se consideren.",2
"Buenas tardes, 

Me permito reportar la falla registrada por nuestra área de vinculaciones
""la vinculación  no llegó proceso final ..., razón por la cual no se ","Buen dia.
No se había terminado el proceso de vinculación correctamente, los archivos ya se encuentran cargados y podrá disponer de ellos el davibox el dia de mañana",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) Incosistencia en Cargues,"Buen dia.
Se realiza intervención técnica para la solución al incidente desplegando el día de ayer en horas de la noche, ya no se debería de evidenciar la falla.
Saludos.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Supero el número de intentos,"Buen dia.
Se comparte la respuesta por parte del proveedor:

Diagnóstico:

Se realiza verificación de los intentos generados para el Evidente Master OTP en donde se encuentra que para los días 3 y 6 de marzo no se aprobó la etapa de validación de identificación y además se superó el número de intentos por día. Se evidencia que para el día 4 de marzo superó la etapa de validación de identificación, no aprobó la validación OTP, pero si el cuestionario.

Resultado:

Se confirma correcto funcionamiento del producto y se sugiere realizar este tipo de validaciones a través de las consultas en las estadísticas detalladas.",1
"Buen día Estimados, El día de hoy constructora capital Bogotá SAS nos reporta 7 inversiones del Proyecto Los Pinos sin legalizar, motivo por el cual nos solicit","Buen dia.

Se adjunta archivo con las observaciones de cada uno de los 7 encargos para revisión.",0
"Buenos días, 


A la sala de venas no le llegó la copia del NIC ni del contrato de encargo Fiduciario para firmar del siguiente cliente:

fecha y hora: 2023/03/","Buen dia Paula.
Se valida el incidente, pero evidenciamos que se le envió el correo a la asesora EDY NATALIA SUAREZ VELEZ se adjunta imagen.
De igual manera también se les envía nic y encargo a los clientes en mención.",1
ERROR PERFIL ADMINISTRADOR TRIADA - El usuario administrador de la Constructora está teniendo acceso al módulo de proyectos,"Buen dia.
Ya se realizo el ajuste de el inconveniente.",2
"Agradezco tu valiosa colaboración para revisar el usuario wbaquero@marval.com.co debido a que no permite el ingreso a la plataforma. Una vez fue creado, llegó l",Cerrado por solicitante,2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): no permite descargar el informe general para los usuarios con perfil constructora y asesor,"Buen dia.
La solución al problema requirió intervención técnica, ya se realizo el ajuste mediante despliegue a ambiente productivo.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): ERROR PROCESOS DUPLICADOS PARA FIRMA,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - NO DESPLIEGA LA LISTA DE PROYECTOS,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID)  no es posible que les llegue el mensaje de texto,"Buen dia.
Se realizan las respectivas validaciones y en efecto la persona con cc 10483102 No tiene suficiente información en la base de datos para hacer el cuestionario, por otro lado ha excedido en número de intentos (Exitosos o fallidos), configurados en la parametria por año, mes y día. Se evidencia en las estadísticas que el día 4/03/2023 genero rechazo en la generación del cuestionario por este motivo sin historial de crédito.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID)  Damaris RenteriaNO recibio  los documentos para firma  ,"Buen dia.
Se evidencia que el proceso de vinculación las firmas ya se encuentra finalizado por todos los firmantes lo que quiere decir que el cliente si recibió las firmas al correo mencionado, adjunto evidencia del proceso con etapa 6 lo cual significa que el proceso fue finalizado y la fecha de finalizado es 10/03/2023.
",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) no esta trayendo  todos los campos (columnas) ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"Se identifico que en la herramienta ONE  ID,  se esta recibiendo un proceso de legalización en días repetidos para un mismo cliente aun cuando el proceso para d","Buen dia lady.
Se detecta que el envío a firmas se realizo 2 veces, esto genera doble documentacion para firmas se adjuntan evidencias.
El envió a firmas es ilimitado pero se genera un solo y único  id de vinculación. muy seguramente el asesor envió a firmas la primera vez y 11 minutos mas tarde volvió
 a enviar a firmas por tal motivo el cliente firmo doble documentación.",0
"Buenas tardes, dentro del proceso de legalización de inversiones a traves de la herramienta ONE ID, se identificó que los documentos que  estan llegando al Davi","Buen dia Lady.
Se realiza ajuste de los documentos mencionados , por otro lado también se ajusta para que el problema no vuelva a paso con los demás documentos para el futuro, El ajuste se vera reflejado para el dia de mañana 23/03/2023.",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):ERROR PARA RECUPERAR CONTRASEÑA,"Hola Camila

Buen día.

Ya es posible recuperar la contraseña de la usuaria leidy.corredor@constructorabolivar.com sin que arroje el mensaje que estaba saltando, este se debía al # de intentos de restablecimiento de contraseña donde se bloqueo el usuario por este número de intentos, esto fue solventado y se realizan pruebas para garantizar que no pase a la hora que la usuaria intente cambiar su contraseña.

Slds ",1
"ERROR DE ACCESO A LA PLATAFORMA - PÁGINA PEGADA

Fecha: 08/03/2023
Usuario: 
beatriz.calderon@constructorabolivar.com
margareth.jaramillo@constructorabolivar.co","Buen dia. 
Se realiza ajuste a nivel de base de datos, al momento los usuarios podrán hacer el proceso de olvido de contraseña",2
"ERROR NO LLEGA CODIGO DE VERIFICACIÓN

Fecha: 08/03/2023
Usuarios:
laura.coll@constructorabolivar.com
sandra.perilla@constructorabolivar.com
Constructor: Constr",Cerrado por solicitante,2
"ERROR NO GENERA ENCARGO FIDUCIARIO

Fecha: 09/03/2023
Usuario: maria.alvis@constructorabolivar.com
C.C. 1052079993
Nombre: ALVIS OCHOA MARIA ALEJANDRA
Construct",Cerrado por solicitante,2
Indicamos que  de las vinculaciones del día 13/03/2023  la inversión  0602000140131352 se evidencia que en  PDF Correspondiente a encargo fiduciario  llegaron  ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"SIN ACCESO A LOS PROYECTOS

Fecha: 08/03/2023
Usuario: karen.sanchez@constructorabolivar.com
C.C. 1001348392
Nombre: KAREN NATALIA SANCHEZ LESMEZ
Constructor: C",Cerrado por solicitante,2
"el dia 12 de  febrero se firmo el encargo  pero no llego el soporte de finalización del mismo, a la fecha la vinculación se encuentra sin finalizar agradecemos ",Cerrado por solicitante,1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): Falla en contraseña ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"ERROR PÁGINA PEGADA

1020830126
Laura.alvarez@constructorabolivar.com

55306116
BEATRIZ.RUIZ@CONSTRUCTORABOLIVAR.COM

Los usuarios realizan el proceso de olvido","Hola Camila

Buen día.

Efectivamente los usuarios estaban con esas inconsistencias en la base de datos y a la hora de hacer recovery de contraseña la aplicación se quedaba cargando porque no encontraba un match entre el correo y el usuario que estaba recuperando, ya los usuarios fueron ajustados y pueden hacer el proceso de recuperar la contraseña y deberían poder hacerlo sin problema.

Slds",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):no llego el archivo ,Cerrado por solicitante,2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - contrato,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
Buenos días  del día 12 de diciembre  el cliente  identificado con 1107537809  realizo el  proceso de vinculación   donde se recibió para firmas  el documento f,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",1
"ERROR ASESOR SIN ACCESO AL PROYECTO

Usuario: JEAN.VIVENCI@CONSTRUCTORABOLIVAR.COM
C.C. 1140822771
Nombre: Jean Paul Vivenzi Rojas
Cel. 3108805283

El error con","No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) : Se presenta interrupción en el acceso a Vinculación preventas Fiduciaria (One ID),"Buen dia.

Los usuarios nos confirman normalidad con el aplicativo",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - contrato,"Buen dia.
El encargo aun no llega ya que el cliente no lo ha firmado, el proceso de firma estaba caducado, ya se amplio la caducidad de el mismo para que firme, y así mismo se le hace llegar correo para firmas.",1
"Buenas tardes:. 
Agradezco su ayuda ya que el formato NIC del señor Nelson eduardo Herrera Prieto 79641954 le ha llegado a la constructora 2 veces para firma pe","Buen dia.
Detectamos que el cliente se envió dos veces para firmas lo cual un proceso ya esta terminado, por tal motivo se generaron dos NIC.",1
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) -  no le llega el codigo de cofnirmacion para ingresar a la app ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): Solicito su colaboraciond ebido a que no permite vincular a un cliente aparece el error adjunto,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Se queda cargando y no permite el ingreso a la plataforma,"Buen dia.
Se confirma ingreso a la herramienta.",1
03/04/2023Buen dia solicito su colaboracion con el caso del encargo 0602000139740247-se firmaron documentos el 2 de febrero pero no  llegaron los documentos,"Hola Jenifer

Buen día.

Evidenciamos que el documento W9 no se había completado de manera correcta lo cual generaba que la vinculación no estuviera finalizada, ya los archivos deben aparecer mañana en el Davibox.

Slds",0
03/04/2023Buen dia solicito su colaboracion con el caso del encargo 0602000139925798Se firmaron  los documentos pero no llegaron los documentos al davibox p,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) - Caso del encargo 0602000139926564,"Hola  Jennifer

Buen día.

ya los archivos fueron gestionados, el día de mañana los debe tener en el Davibox con el traspaso de información el día de hoy.

Slds",0
"Buenas tardes,  del día 30 y 31 del 2023 tenemos los siguientes clientes(duplicados) gestionados los dos días con el mismo  numero de inversión , se  identifica","Buen dia.
Como se ha hablado anteriormente, este tema se va a abordar como una solicitud mas no como un tema de soporte, ya se están adelantando las acciones para implementar la mejora.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) no le permite descargar el reporte,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
"Fecha y hora: 1, 2, 3 y 4 de abril 
tipo y número de identificación cliente: CC 52693126 y 80356296
Datos de la asesora de sala: ADRIANA CERQUERA CC 52015959 ","Buen dia.
Se realiza ajuste a nivel técnico solventando lo reportado.",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID) pero se encuentra creada de forma exitosa ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",2
VINCULACION PREVENTAS FIDUCIARIA (ONE ID):no llegaron los documentos ,"No se obtuvo respuesta del Usuario. 
Cerrado por el sistema",1
"Buenos dias:
Tenemos dos casos de one ID Bolivar cali que le llegaron los documentos al cliente y los firmo pero no al asesor, en validación de un caso anterio","Buen dia.
Detectamos que el encargo aun no se firmo en su totalidad, se realiza reenvío para culmine el proceso de firmas.
Con respecto a la vinculación de  DANIELA PORRAS BALANTA mañana se veran reflejados los archivos en el davibox",0
VINCULACION PREVENTAS FIDUCIARIA (ONE ID): Solicito su colaboración activando la siguiente firma de NIC con el código 2DJ71678651382657R885,"Hola Jeniffer

Buen día.
ya fue ampliada la fecha de caducidad del proceso hasta el 31 de Mayo para que está pueda ser completada y adicional a ello se envió un recordatorio al asesor 
danny.copete@constructorabolivar.com para que pueda realizar la firma del NIC. Adjunto evidencia de la fecha ampliada.

Slds",1
